설비ID,타입,공기온도,공정온도,회전수,토크,공구마모,고장여부
L0001,L,302.1,313.2,1454,47.3,20,0
L0002,L,299.9,310.6,1223,47.8,117,0
M0003,M,299.9,310.9,1234,43.6,7,0
L0004,L,298.8,308.8,1394,39.3,168,0
L0005,L,300.2,311.0,1498,33.9,85,0
L0006,L,300.6,308.8,1390,21.0,237,0
L0007,L,298.4,309.3,1612,43.4,81,0
M0008,M,299.7,309.9,1449,41.9,140,0
L0009,L,298.8,309.4,1326,45.6,64,0
L0010,L,304.6,315.0,1449,26.6,155,0
M0011,M,299.8,308.8,1540,46.5,116,0
L0012,L,303.1,311.6,1558,60.5,92,0
L0013,L,299.6,308.9,1838,40.8,50,0
L0014,L,300.5,311.1,1379,39.4,27,0
H0015,H,297.4,308.1,1486,43.1,29,0
L0016,L,299.1,307.7,1576,60.3,249,1
M0017,M,300.4,309.4,1495,29.8,103,0
H0018,H,303.2,312.5,1409,42.0,0,0
M0019,M,300.4,310.0,1221,32.0,238,0
L0020,L,302.8,311.4,1408,34.5,4,0
M0021,M,301.3,309.9,1306,39.5,104,0
L0022,L,303.3,312.5,1189,53.5,179,0
L0023,L,299.9,310.0,1356,58.0,228,1
M0024,M,304.8,313.6,1311,44.5,178,0
L0025,L,299.0,308.9,1605,36.2,115,0
L0026,L,298.5,309.6,1608,64.9,243,0
L0027,L,297.6,306.3,1337,35.7,9,0
L0028,L,304.7,314.5,1453,34.3,246,0
L0029,L,301.6,312.6,1165,22.3,212,0
M0030,M,299.3,308.9,1411,54.0,232,1
H0031,H,302.5,311.9,1571,49.7,63,0
L0032,L,301.4,312.6,1648,64.2,35,0
M0033,M,303.9,313.6,1371,26.1,165,0
L0034,L,296.9,308.0,1689,54.6,128,0
L0035,L,299.5,309.9,1227,40.7,130,0
L0036,L,299.1,308.8,1275,48.1,231,1
L0037,L,296.1,306.6,1627,23.5,155,0
L0038,L,302.1,312.4,1800,54.7,77,0
L0039,L,299.5,310.5,1588,47.9,100,0
L0040,L,301.5,311.0,1492,39.6,33,0
M0041,M,304.7,314.7,1104,46.5,48,0
L0042,L,299.3,309.2,1135,32.3,35,0
L0043,L,299.2,309.9,1523,34.2,202,0
L0044,L,300.2,309.2,1435,35.4,176,0
M0045,M,302.0,313.0,1300,21.5,132,0
L0046,L,298.9,309.4,1511,48.6,93,0
M0047,M,298.7,307.4,1520,51.9,167,0
L0048,L,302.1,313.3,1669,33.0,203,0
L0049,L,300.8,313.0,1524,43.5,220,0
H0050,H,295.9,306.9,1721,37.3,136,0
L0051,L,297.5,308.9,1501,43.3,204,0
L0052,L,303.0,313.1,1479,33.7,127,0
L0053,L,300.8,309.1,1691,31.2,118,0
H0054,H,298.5,306.7,1323,50.5,216,0
M0055,M,299.7,310.0,2006,39.4,96,0
M0056,M,300.0,309.4,1567,60.2,98,0
H0057,H,301.5,310.6,1568,40.5,76,0
L0058,L,297.3,307.2,1594,30.7,129,0
H0059,H,298.3,308.9,1837,52.3,136,0
L0060,L,300.5,309.0,1642,46.3,165,0
M0061,M,299.8,309.4,1211,47.3,107,0
L0062,L,301.1,312.6,1752,51.9,54,0
L0063,L,297.5,306.4,1438,33.5,216,0
H0064,H,300.7,311.6,1519,38.7,86,0
L0065,L,302.2,311.7,1269,38.3,230,0
H0066,H,301.0,311.5,1594,27.1,51,0
L0067,L,300.3,311.4,1382,37.4,140,0
M0068,M,299.8,310.5,1518,53.4,134,0
H0069,H,298.3,309.2,1448,42.4,207,0
L0070,L,299.9,308.7,1846,26.5,34,0
H0071,H,302.5,313.6,1856,24.4,227,0
M0072,M,299.8,308.9,1508,56.6,132,0
M0073,M,298.2,308.5,1511,39.1,146,0
L0074,L,299.0,309.3,1432,33.5,127,0
M0075,M,300.4,310.9,1699,37.3,9,0
M0076,M,299.3,309.6,1440,25.2,124,0
L0077,L,301.0,310.2,1424,54.2,65,0
L0078,L,301.0,309.7,1676,36.1,85,0
L0079,L,301.8,312.7,1403,53.7,162,0
H0080,H,302.8,313.0,1493,40.5,124,0
L0081,L,302.0,313.1,1215,54.3,23,0
M0082,M,298.1,308.1,1626,42.6,18,0
H0083,H,298.2,306.8,1849,48.5,46,0
L0084,L,299.8,310.8,1629,47.2,47,0
L0085,L,299.1,308.7,1763,46.2,152,0
M0086,M,297.7,308.0,1347,43.5,44,0
L0087,L,299.1,308.5,1542,37.7,220,0
M0088,M,299.1,310.7,1330,59.2,52,0
M0089,M,298.7,307.8,1459,30.9,22,0
M0090,M,299.4,309.1,1638,40.0,218,0
L0091,L,302.4,312.5,1518,40.1,73,0
M0092,M,300.4,309.3,1245,44.0,106,0
M0093,M,304.9,315.2,1263,35.7,239,0
L0094,L,300.3,311.9,1251,43.1,236,0
M0095,M,299.4,308.9,1588,38.3,178,0
H0096,H,300.0,310.4,1871,24.2,17,0
M0097,M,300.5,307.8,1745,40.1,148,1
L0098,L,300.9,310.9,1158,29.0,247,0
L0099,L,304.2,313.9,1755,22.7,236,0
L0100,L,298.3,307.5,1668,41.4,26,0
L0101,L,301.7,312.8,1221,44.9,98,0
L0102,L,300.4,310.1,1445,45.3,78,0
H0103,H,296.9,306.7,1697,45.7,32,0
L0104,L,301.5,311.1,1599,20.7,173,0
H0105,H,302.5,310.6,1264,26.4,68,0
L0106,L,298.3,307.2,1609,59.7,86,0
L0107,L,300.0,311.0,1115,29.5,22,0
L0108,L,296.5,304.4,1459,46.1,124,0
L0109,L,297.5,306.7,1704,33.1,39,0
M0110,M,302.1,311.7,1503,40.8,108,0
H0111,H,299.1,310.8,1410,33.7,35,0
H0112,H,297.8,308.6,1660,45.6,238,0
L0113,L,300.5,309.9,1675,41.4,36,0
M0114,M,299.0,310.3,1735,35.5,130,0
L0115,L,299.1,308.4,1657,29.5,49,0
H0116,H,301.5,312.5,1694,42.7,19,0
M0117,M,297.7,306.3,1631,27.9,50,0
L0118,L,298.2,309.3,1547,44.3,13,0
L0119,L,300.3,309.9,1516,66.3,34,0
L0120,L,301.9,310.9,1457,53.5,123,0
L0121,L,302.5,312.3,1281,47.2,162,0
H0122,H,298.7,309.0,1328,39.1,21,0
M0123,M,301.9,311.4,1449,20.6,110,0
H0124,H,298.4,309.0,1543,26.8,145,0
L0125,L,303.7,313.1,1759,52.8,58,0
M0126,M,297.7,308.3,1492,32.1,93,0
L0127,L,302.7,313.1,1680,33.0,17,0
M0128,M,298.7,308.6,1694,38.3,55,0
L0129,L,304.0,313.6,1458,29.4,116,0
L0130,L,301.2,311.4,1607,27.7,247,1
M0131,M,298.0,308.6,1456,39.5,249,0
L0132,L,299.0,311.1,1737,31.1,244,1
L0133,L,301.6,312.5,1614,32.6,105,0
M0134,M,302.1,313.1,1285,32.2,20,0
L0135,L,299.9,313.0,1529,45.2,80,0
H0136,H,300.1,310.6,1796,37.7,59,0
M0137,M,301.5,312.0,1467,38.2,3,0
H0138,H,300.3,311.0,1580,46.0,23,0
M0139,M,297.4,306.4,1598,38.6,113,0
M0140,M,298.4,308.0,1313,37.2,84,0
M0141,M,300.5,310.0,1591,44.7,45,0
H0142,H,302.4,313.0,1249,46.7,179,0
M0143,M,303.2,313.0,1387,38.5,89,0
L0144,L,301.6,311.7,1693,40.8,212,0
L0145,L,300.6,311.7,1564,32.2,60,0
M0146,M,301.5,312.4,1445,31.4,134,0
L0147,L,298.7,308.5,1580,47.7,46,0
L0148,L,299.7,309.0,1489,44.4,123,0
L0149,L,298.4,309.5,1502,44.6,38,0
M0150,M,297.5,308.3,1618,42.8,40,0
L0151,L,300.7,309.1,1369,40.5,153,0
M0152,M,300.4,310.1,1507,47.0,65,0
M0153,M,301.4,311.6,1443,49.4,43,0
H0154,H,301.1,311.9,1214,49.1,232,0
L0155,L,300.5,311.4,1334,39.0,10,0
M0156,M,301.1,311.4,1782,53.9,141,0
M0157,M,299.9,310.5,1569,42.3,137,0
L0158,L,300.8,310.9,1261,46.3,62,0
M0159,M,298.5,307.8,1222,42.8,113,0
L0160,L,300.7,310.4,1479,42.5,21,0
H0161,H,301.3,311.3,1781,32.6,180,0
L0162,L,298.7,308.7,1466,47.0,55,0
H0163,H,300.1,308.2,1735,68.5,48,0
M0164,M,298.8,308.4,1563,36.3,78,0
L0165,L,298.9,309.0,1584,40.7,225,0
M0166,M,297.8,307.5,1259,35.5,199,0
L0167,L,302.5,312.3,1668,35.1,236,0
M0168,M,302.1,312.6,1439,55.4,162,0
M0169,M,301.1,310.0,1655,33.3,165,0
L0170,L,303.9,312.3,1353,35.3,120,0
L0171,L,299.6,309.3,1531,24.1,226,0
M0172,M,306.1,316.9,1563,32.4,127,0
L0173,L,299.5,311.2,1472,22.9,88,0
H0174,H,300.5,311.3,1572,46.3,160,0
M0175,M,299.2,307.7,1452,68.0,136,0
M0176,M,300.7,310.5,1383,36.3,31,0
L0177,L,301.7,312.0,1788,23.3,98,0
M0178,M,299.8,310.0,1688,49.0,78,0
H0179,H,303.6,314.1,1363,32.7,211,0
