WO_NO,EQP_TAG,DETC_DT,STRT_DT,END_DT,MNT_TYPE,FAIL_MODE,DOWN_MIN,PART_CHG,WRKR_ID,WRK_TEAM,REMARK
WO-2024-00001,P1-SM1-CRN02,2024-01-01 06:22,2024-01-01 07:28,2024-01-01 11:27,TBM,,239,N,MT-1008,MT-B,점검 이상없음
WO-2024-00002,P1-CC1-SCC01,2024-01-01 06:35,2024-01-01 12:27,2024-01-01 14:25,BM,MAL,0,N,MT-1008,MT-B,"1호기 재발, 제어 이상"
WO-2024-00003,P1-CR1-WLD01,2024-01-01 07:23,2024-01-01 10:59,2024-01-01 12:35,TBM,,95,N,MT-1007,MT-B,
WO-2024-00004,P1-SP2-EXF01,2024-01-01 07:37,2024-01-02 20:15,2024-01-03 02:28,CBM,BRG,160,N,MT-1010,MT-B,BRG소음 확인
WO-2024-00005,P1-CR1-INS01,2024-01-01 10:52,2024-01-01 14:23,2024-01-01 16:09,BM,ETC,106,Y,MT-1009,MT-B,
WO-2024-00006,P1-SP1-MIX01,2024-01-01 14:37,2024-01-01 18:02,2024-01-01 18:56,TBM,,15,N,MT-1011,MT-B,월간 점검 완료
WO-2024-00007,P1-SP2-CRS01,2024-01-01 15:09,2024-01-11 12:19,2024-01-11 19:06,CBM,LUB,407,N,MT-1010,MT-B,"  1호기 재발, 오일 레벨 저하 "
WO-2024-00008,P1-SP2-AGT01-MTR,2024-01-01 22:14,2024-01-02 03:19,2024-01-02 09:52,BM,BRG,392,N,MT-1020,MT-D,베어링 이상음
WO-2024-00009,P1-CR1-SPM01,2024-01-02 11:41,2024-01-02 11:51,2024-01-02 16:17,TBM,,0,N,MT-1014,MT-C,TBM 점검
WO-2024-00010,P1-CC1-LDT01,2024-01-02 22:34,2024-01-02 23:47,2024-01-03 04:45,TBM,,298,N,MT-1005,MT-A,
WO-2024-00011,P1-SP1-DCF02,2024-01-03 06:40,2024-01-03 08:54,2024-01-03 11:29,TBM,,85,Y,MT-1021,MT-D,
WO-2024-00012,P1-CC1-MLD01,2024-01-03 11:54,2024-01-03 15:19,2024-01-03 18:10,TBM,,125,N,MT-1019,MT-D,
WO-2024-00013,P1-BF2-BFR01,2024-01-03 14:19,2024-01-05 12:17,2024-01-05 19:48,CBM,ETC,451,Y,MT-1024,MT-D,원인 미상
WO-2024-00014,P1-BF1-HSV01,2024-01-03 15:06,2024-01-03 17:46,2024-01-03 18:37,TBM,,51,Y,MT-1022,MT-D,월간 점검 완료
WO-2024-00015,P1-BF1-BLW01,2024-01-03 22:00,2024-01-12 08:41,2024-01-12 15:24,CBM,ELE,125,Y,MT-1007,MT-B,절연 저하
WO-2024-00016,P1-SP1-CRS01,2024-01-03 22:06,2024-01-03 23:14,2024-01-04 00:19,TBM,,64,N,MT-1012,MT-B,TBM 점검
WO-2024-00017,P1-SP1-AGT01-MTR,2024-01-03 22:53,2024-01-06 05:01,2024-01-06 10:38,CBM,BRG,336,N,MT-1008,MT-B,이상음 발생
