MEAS_DT,BURST_ID,EQP_CD,N,VIB-AGT_RMS,VIB-AGT_STD,VIB-AGT_PTP,VIB-AGT_ABSMAX,VIB-AGT_P95,VIB-AGT_KUR,VIB-AGT_SKW,VIB-AGT_CRF
2024-01-20 00:00:00.000,A24-0001,P1-SP1-AGT01,1024,1.941249,1.94025,6.533203,3.304688,3.005859,-1.542922,0.013965,1.702351
2024-01-20 23:51:19.518,A24-0002,P1-SP2-AGT01,1024,1.889993,1.889932,6.679688,3.345703,3.01084,-1.46932,0.016075,1.77022
2024-01-21 23:42:39.036,A24-0003,P1-SP1-AGT01,1024,1.914879,1.914404,6.626953,3.322266,3.0,-1.518693,-0.024163,1.734974
2024-01-22 23:33:58.554,A24-0004,P1-SP2-AGT01,1024,1.9023,1.9023,6.421875,3.246094,3.0,-1.485108,0.064156,1.706405
2024-01-23 23:25:18.072,A24-0005,P1-SP1-AGT01,1024,0.171497,0.044574,0.190625,0.292187,0.263633,0.40105,-1.346774,1.70375
2024-01-24 23:16:37.590,A24-0006,P1-SP2-AGT01,1024,1.948575,1.948239,6.380859,3.205078,3.011719,-1.556348,0.011727,1.644831
2024-01-25 23:07:57.108,A24-0007,P1-SP1-AGT01,1024,1.912612,1.912445,6.486328,3.287109,3.023438,-1.487401,0.016308,1.718649
2024-01-26 22:59:16.627,A24-0008,P1-SP2-AGT01,1024,1.945457,1.943215,6.369141,3.210938,3.017578,-1.568999,0.02509,1.65048
2024-01-27 22:50:36.145,A24-0009,P1-SP1-AGT01,1024,1.913457,1.913285,6.433594,3.234375,3.011719,-1.543513,0.003565,1.690331
2024-01-28 22:41:55.663,A24-0010,P1-SP2-AGT01,1024,1.907905,1.90677,6.568359,3.380859,3.0,-1.527388,0.040929,1.772027
2024-01-29 22:33:15.181,A24-0011,P1-SP1-AGT01,1024,1.870133,1.869943,6.439453,3.263672,3.005859,-1.467127,-0.018592,1.745155
2024-01-30 22:24:34.699,A24-0012,P1-SP2-AGT01,1024,1.916313,1.915582,6.392578,3.246094,3.0,-1.535119,0.00205,1.693926
2024-01-31 22:15:54.217,A24-0013,P1-SP1-AGT01,1024,1.937224,1.937208,6.433594,3.222656,3.011719,-1.538993,-0.021554,1.663543
2024-02-01 22:07:13.735,A24-0014,P1-SP2-AGT01,1024,1.92989,1.929753,6.457031,3.28125,3.005859,-1.530223,-0.007637,1.700227
2024-02-02 21:58:33.253,A24-0015,P1-SP1-AGT01,1024,1.964439,1.96352,6.515625,3.263672,3.011719,-1.567605,-0.00949,1.661376
2024-02-03 21:49:52.771,A24-0016,P1-SP2-AGT01,1024,1.955083,1.955082,6.398438,3.216797,3.011719,-1.550576,0.062448,1.64535
2024-02-04 21:41:12.289,A24-0017,P1-SP1-AGT01,1024,1.881865,1.879906,6.433594,3.257812,3.0,-1.510439,0.029084,1.731161
2024-02-05 21:32:31.807,A24-0018,P1-SP2-AGT01,1024,1.911997,1.911982,6.732422,3.527344,3.005859,-1.520745,0.042332,1.844848
2024-02-07 21:15:10.843,A24-0020,P1-SP2-AGT01,1024,1.874755,1.873166,6.445312,3.251953,3.0,-1.47823,0.048727,1.734601
2024-02-08 21:06:30.361,A24-0021,P1-SP1-AGT01,1024,0.171077,0.042242,0.203906,0.305469,0.252344,0.567959,-1.360251,1.785562
2024-02-09 20:57:49.880,A24-0022,P1-SP2-AGT01,1024,1.948723,1.948074,6.609375,3.457031,3.017578,-1.536686,0.021075,1.773998
2024-02-10 20:49:09.398,A24-0023,P1-SP1-AGT01,1024,1.896582,1.895655,6.609375,3.316406,3.0,-1.505082,0.007587,1.748623
2024-02-11 20:40:28.916,A24-0024,P1-SP2-AGT01,1024,1.928818,1.928778,6.416016,3.216797,3.01084,-1.552335,0.008213,1.667756
2024-02-12 20:31:48.434,A24-0025,P1-SP1-AGT01,1024,1.913272,1.913004,6.427734,3.28125,3.005859,-1.511909,-0.031413,1.714994
2024-02-13 20:23:07.952,A24-0026,P1-SP2-AGT01,1024,1.886375,1.885447,6.662109,3.351562,3.01084,-1.492972,0.027962,1.776721
2024-02-14 20:14:27.470,A24-0027,P1-SP1-AGT01,1024,1.910341,1.909351,6.421875,3.240234,3.005859,-1.516075,0.04312,1.696155
2024-02-15 20:05:46.988,A24-0028,P1-SP2-AGT01,1024,1.910624,1.909027,6.673828,3.457031,3.016699,-1.486257,0.037121,1.809372
