MEAS_DT,BURST_ID,ROWS,DUR_S,VIB-TOP_RMS,VIB-TOP_KUR,VIB-TOP_CRF,VIB-TOP_PTP,VIB-TOP_STD,VIB-BOT_RMS,VIB-BOT_KUR,VIB-BOT_CRF,VIB-BOT_PTP,VIB-BOT_STD,CUR-MTR_RMS,CUR-MTR_KUR,CUR-MTR_CRF,CUR-MTR_PTP,CUR-MTR_STD
2024-01-10 00:00:00.000,B24-00001,41,4.0,0.068658,0.353709,2.891691,0.320468,0.069511,0.162905,-1.358932,1.749875,0.542527,0.164929,147.944454,-1.425706,1.611437,439.24885,149.782344
2024-01-10 12:47:42.113,B24-00002,37,3.6,0.073064,-0.896812,1.968001,0.24489,0.074072,0.132236,-1.325153,1.800431,0.425441,0.13406,139.629892,-1.382643,1.598617,433.55648,141.555912
2024-01-11 01:35:23.826,B24-00003,24,2.3,0.03948,-0.684452,1.914267,0.139259,0.040329,0.049334,-0.881725,1.865738,0.178882,0.050395,79.850029,-1.581706,1.463698,220.65249,81.56743
2024-01-11 14:23:04.240,B24-00004,10,0.9,0.047983,-0.189135,1.677601,0.159718,0.050578,0.124657,-1.524932,1.541919,0.361909,0.1314,154.084777,-1.718287,1.468574,415.93938,162.419616
2024-01-12 03:10:43.253,B24-00005,50,4.9,0.039326,-0.782023,2.117607,0.162124,0.039726,0.04827,-0.390723,2.156204,0.199749,0.04876,81.544427,-1.587807,1.359422,221.6095,82.37231
2024-01-12 15:58:26.266,B24-00006,50,4.9,0.070428,-0.727189,2.287102,0.302451,0.071143,0.146145,-1.411561,1.754891,0.482991,0.147628,151.40583,-1.4653,1.487731,449.98281,152.942985
2024-01-13 04:46:09.279,B24-00007,50,4.9,0.077156,-0.728163,2.099764,0.322025,0.07794,0.049317,1.014076,2.715451,0.265848,0.049818,81.228033,-1.598972,1.35945,220.81223,82.052704
2024-01-13 17:33:52.293,B24-00008,41,4.0,0.085063,0.386361,2.510742,0.399272,0.08612,0.178068,-1.437293,1.610798,0.546251,0.18028,174.724303,-1.47382,1.509643,508.70663,176.894875
2024-01-14 06:21:34.406,B24-00009,4,0.3,0.367388,-5.200369,1.206231,0.834399,0.424224,0.446437,-2.600957,1.435136,1.066703,0.515501,52.087612,-1.975512,1.470445,126.361864,60.145594
2024-01-14 19:09:12.819,B24-00010,26,2.5,0.068556,-0.822129,1.994847,0.265791,0.069914,0.103649,-0.806314,1.983963,0.308048,0.105702,125.816101,-1.458921,1.608919,373.8101,128.307751
2024-01-15 07:56:53.432,B24-00011,13,1.2,0.048591,-0.472027,1.850214,0.177929,0.050575,0.050464,-0.634591,2.038363,0.173069,0.052524,72.132908,-1.019398,1.837161,216.20742,75.078311
2024-01-15 20:44:32.746,B24-00012,50,4.9,0.07071,0.618413,2.605792,0.366143,0.071428,0.12373,-1.252682,1.800738,0.380618,0.124986,150.979325,-1.455223,1.548182,464.61123,152.51215
2024-01-16 09:32:15.759,B24-00013,50,4.9,0.044883,0.314606,2.36766,0.211693,0.045338,0.049177,-0.446943,2.26479,0.21721,0.049676,81.859562,-1.594335,1.365367,223.00806,82.690644
2024-01-16 22:19:58.772,B24-00014,40,3.9,0.067617,-0.3319,2.5793,0.299681,0.068478,0.125627,-0.864543,1.950157,0.487793,0.127227,135.412192,-1.394359,1.634367,401.07041,137.137257
2024-01-17 11:07:40.785,B24-00015,25,2.4,0.067083,1.794323,2.719852,0.337113,0.068467,0.168214,-1.406309,1.647616,0.493005,0.171683,160.640723,-1.073848,1.824968,493.80559,163.953252
2024-01-17 23:55:21.299,B24-00016,14,1.3,0.037181,-0.938107,1.722605,0.123478,0.038585,0.037416,-1.309476,1.601515,0.105903,0.038828,83.958325,-1.549644,1.468326,222.82686,87.127671
2024-01-18 12:43:00.712,B24-00017,50,4.9,0.079024,-0.184528,2.160693,0.328359,0.079826,0.187356,-1.323334,1.679929,0.61764,0.189258,178.783051,-1.477074,1.461141,521.85017,180.598154
2024-01-19 01:30:43.725,B24-00018,50,4.9,0.091638,-0.741982,2.132776,0.354596,0.092568,0.119892,-0.796872,2.072375,0.418311,0.12111,112.144299,-1.453428,1.511718,335.56323,113.282849
2024-01-19 14:18:26.738,B24-00019,36,3.5,0.047282,0.282564,2.907726,0.214315,0.047953,0.05412,-0.772073,2.036018,0.212851,0.054888,83.463603,-1.63552,1.424743,222.2698,84.647543
2024-01-20 03:06:08.352,B24-00020,36,3.5,0.087934,-0.938028,2.009885,0.326611,0.089181,0.090483,-1.338825,1.831965,0.281675,0.091766,101.043525,-1.469769,1.555867,299.74488,102.476838
2024-01-20 15:53:49.965,B24-00021,23,2.2,0.081967,-0.266404,2.281548,0.337703,0.083809,0.038666,0.374384,2.64084,0.156085,0.039535,81.327887,-1.397906,1.613836,223.90416,83.155709
2024-01-21 04:41:30.278,B24-00022,22,2.1,0.068694,-0.68427,1.803203,0.247206,0.07031,0.074624,-0.301492,1.880116,0.280471,0.07638,79.116003,-1.387305,1.592184,226.3259,80.97781
2024-01-21 17:29:10.491,B24-00023,11,1.0,0.0841,-0.567874,1.821379,0.294038,0.088205,0.08256,-1.283319,1.812967,0.249953,0.08659,75.572199,-0.424557,1.990557,242.33416,79.260791
2024-01-22 06:16:49.605,B24-00024,50,4.9,0.079856,-0.798979,2.245266,0.327371,0.080667,0.075422,-0.649096,2.230074,0.261136,0.076187,99.409035,-1.478081,1.496095,294.91822,100.418289
2024-01-22 19:04:32.618,B24-00025,50,4.9,0.064359,-0.281172,2.516686,0.289225,0.065012,0.035981,1.562249,3.069784,0.206754,0.036347,82.144928,-1.586757,1.361881,222.22641,82.978908
2024-01-23 07:52:15.631,B24-00026,36,3.5,0.068942,-0.50091,2.218617,0.279586,0.06992,0.185408,-1.42997,1.708821,0.577813,0.188038,170.648113,-1.502335,1.540033,493.59936,173.068774
2024-01-23 20:39:57.244,B24-00027,26,2.5,0.066951,-0.933187,1.885874,0.24564,0.068277,0.043225,-0.116697,2.223621,0.182197,0.044081,82.502347,-1.462471,1.590038,229.37647,84.136216
2024-01-24 09:27:37.858,B24-00028,12,1.1,0.054252,1.102213,2.355053,0.196695,0.056665,0.048427,-0.220318,2.035491,0.158083,0.050581,83.356092,-1.113521,1.679147,229.47791,87.062599
2024-01-24 22:15:17.071,B24-00029,50,4.9,0.068755,-0.437174,2.307076,0.284184,0.069453,0.039375,1.093887,3.239783,0.214475,0.039774,83.74473,-1.589457,1.345995,224.89014,84.594953
2024-01-25 11:03:00.084,B24-00030,50,4.9,0.065705,-1.021646,2.11622,0.257208,0.066372,0.046396,-0.959901,1.953302,0.170787,0.046867,89.608815,-1.520837,1.419184,252.628,90.518573
2024-01-25 23:50:43.097,B24-00031,42,4.1,0.087234,-0.857368,2.188807,0.356061,0.088291,0.070855,-0.844181,1.827067,0.250702,0.071714,97.865531,-1.480186,1.547702,287.13122,99.051824
2024-01-26 12:38:25.311,B24-00032,27,2.6,0.07183,-0.449365,2.232909,0.250635,0.073199,0.184291,-1.437691,1.55807,0.568253,0.187802,183.367935,-1.557586,1.417809,513.34673,186.860971
2024-01-28 03:01:23.550,B24-00035,50,4.9,0.08181,0.786929,2.693135,0.43894,0.082641,0.144989,-1.233266,1.966221,0.536646,0.146461,139.181116,-1.450735,1.506406,418.011,140.594159
2024-01-28 15:49:06.564,B24-00036,50,4.9,0.07436,-0.376776,2.25249,0.319822,0.075115,0.135,-1.102851,1.923557,0.442732,0.13637,157.677578,-1.4788,1.50817,471.96167,159.278406
2024-01-29 04:36:49.577,B24-00037,38,3.7,0.040384,-0.563434,2.078773,0.162874,0.040926,0.039656,-0.773503,2.019801,0.157652,0.040189,80.017227,-1.526104,1.461335,221.24448,81.091331
2024-01-29 17:24:31.390,B24-00038,50,4.9,0.390959,1.369035,2.618299,2.022551,0.394928,0.253043,-0.37556,2.521384,1.009518,0.255612,88.744982,0.332579,2.56432,369.54884,89.645969
2024-01-30 06:12:14.403,B24-00039,37,3.6,0.079341,-0.355285,2.243959,0.326032,0.080436,0.126572,-1.184752,1.963521,0.40194,0.128317,141.452955,-1.383692,1.592504,435.95081,143.404122
2024-01-30 18:59:56.117,B24-00040,24,2.3,0.053379,-0.006401,2.235155,0.22358,0.054527,0.041315,-0.701884,1.949195,0.159173,0.042204,80.410739,-1.620489,1.400108,220.69517,82.1402
2024-01-31 07:47:36.530,B24-00041,12,1.1,0.058769,0.781402,2.164806,0.233287,0.061383,0.168167,-1.307519,1.524454,0.500997,0.175644,151.929152,-0.817605,1.882346,465.33662,158.684824
2024-01-31 20:35:15.743,B24-00042,12,1.1,0.05018,1.443567,2.101344,0.205472,0.052411,0.02632,-1.460763,1.776683,0.079178,0.02749,81.393616,-0.991905,1.736845,227.70133,85.01286
2024-02-01 22:10:33.070,B24-00044,50,4.9,0.058167,-0.976661,1.88616,0.218187,0.058758,0.056808,0.115372,2.90207,0.260909,0.057385,90.025157,-1.532832,1.421783,254.4004,90.939141
2024-02-02 10:58:16.083,B24-00045,50,4.9,0.066085,-0.068934,2.297095,0.287612,0.066756,0.052552,-0.182954,2.479852,0.24674,0.053086,81.76335,-1.600224,1.358048,221.70856,82.593456
2024-02-02 23:45:59.096,B24-00046,43,4.2,0.070597,0.603095,2.851669,0.359728,0.071433,0.178505,-1.458313,1.62383,0.577802,0.180617,164.833019,-1.310859,1.676314,495.56274,166.783774
2024-02-03 12:33:41.409,B24-00047,29,2.8,0.066847,-0.790645,1.914858,0.216893,0.06803,0.107146,-0.980631,1.949956,0.330403,0.109043,131.230515,-1.567149,1.457095,371.50972,133.55336
2024-02-04 01:21:22.323,B24-00048,17,1.6,0.049031,-0.318246,2.106913,0.180006,0.05054,0.041852,0.259468,2.224275,0.160285,0.04314,81.472732,-1.690911,1.371173,218.71497,83.98017
