MEAS_DT,SEG_ID,SESS_ID,EQP_CD,SEG_NO,T0_S,FS_HZ,N,VIB-MDE_RMS,VIB-MDE_KUR,VIB-MDE_CRF,VIB-MDE_1X,VIB-MDE_2X,VIB-MDE_3X,VIB-MDE_R21,VIB-MDE_NSY,VIB-MDE_HF,VIB-MNDE_RMS,VIB-MNDE_KUR,VIB-MNDE_CRF,VIB-MNDE_1X,VIB-MNDE_2X,VIB-MNDE_3X,VIB-MNDE_R21,VIB-MNDE_NSY,VIB-MNDE_HF,VIB-FDE_RMS,VIB-FDE_KUR,VIB-FDE_CRF,VIB-FDE_1X,VIB-FDE_2X,VIB-FDE_3X,VIB-FDE_R21,VIB-FDE_NSY,VIB-FDE_HF,VIB-FNDE_RMS,VIB-FNDE_KUR,VIB-FNDE_CRF,VIB-FNDE_1X,VIB-FNDE_2X,VIB-FNDE_3X,VIB-FNDE_R21,VIB-FNDE_NSY,VIB-FNDE_HF
2024-01-15 00:00:00.000,V24-SP1-03-000,V24-SP1-03,P1-SP1-EXF01,0,0.0,1400.6,2801,0.328131,-0.043546,4.206709,0.023744,0.025009,0.009936,1.053292,0.79122,0.067947,0.320376,0.165161,3.889279,0.010538,0.017421,0.00594,1.653273,0.789072,0.076878,0.373658,-0.017828,3.334085,0.01234,0.014751,0.008571,1.195425,0.87504,0.074584,0.406069,-0.024764,3.181433,0.006303,0.007446,0.002815,1.181286,0.80271,0.075377
2024-01-15 00:00:01.999,V24-SP1-03-001,V24-SP1-03,P1-SP1-EXF01,1,1.9999,1400.6,2801,0.319634,0.790323,5.026254,0.015306,0.05982,0.008461,3.908236,0.784445,0.068683,0.329965,0.513575,4.188226,0.011856,0.006469,0.007978,0.545647,0.814036,0.067183,0.391605,0.221997,3.872319,0.034492,0.035466,0.005143,1.028241,0.756678,0.068565,0.423635,-0.112251,3.78524,0.016481,0.008404,0.002607,0.509937,0.830319,0.072895
2024-01-15 00:00:03.999,V24-SP1-03-002,V24-SP1-03,P1-SP1-EXF01,2,3.9998,1400.6,2801,0.330657,0.146145,4.045692,0.016551,0.0522,0.005624,3.153946,0.817454,0.071121,0.315043,0.374373,4.395539,0.050026,0.006902,0.007195,0.137966,0.853594,0.067835,0.398415,0.09838,3.464107,0.021874,0.084669,0.003997,3.870677,0.784235,0.068848,0.393466,-0.100267,3.689259,0.083857,0.015005,0.006776,0.178931,0.7678,0.075987
2024-01-15 00:00:05.999,V24-SP1-03-003,V24-SP1-03,P1-SP1-EXF01,3,5.9997,1400.6,2801,0.343776,0.417116,3.758261,0.030483,0.020015,0.007663,0.656602,0.789177,0.063345,0.347694,0.420852,3.718482,0.032806,0.015352,0.012627,0.467962,0.824589,0.073526,0.368794,0.031239,3.743137,0.028587,0.093986,0.009135,3.287681,0.683276,0.061043,0.363862,-0.057867,3.544443,0.059658,0.026565,0.010748,0.445298,0.706612,0.071702
2024-01-15 00:00:07.999,V24-SP1-03-004,V24-SP1-03,P1-SP1-EXF01,4,7.9997,1400.6,2801,0.324346,0.604699,4.257907,0.032377,0.02442,0.007941,0.754233,0.740215,0.073927,0.346177,0.53315,3.864937,0.032289,0.014755,0.010656,0.45696,0.766435,0.06677,0.391659,0.211969,3.761336,0.032896,0.098601,0.008464,2.997331,0.704664,0.067445,0.350686,-0.052769,3.685556,0.047722,0.020912,0.010011,0.438211,0.767693,0.062018
2024-01-15 00:00:09.999,V24-SP1-03-005,V24-SP1-03,P1-SP1-EXF01,5,9.9996,1400.6,2801,0.313608,0.332805,4.328392,0.036178,0.01237,0.007558,0.341919,0.704437,0.07364,0.35137,0.228494,3.483963,0.029291,0.012199,0.012582,0.416463,0.79158,0.071645,0.397939,-0.015909,3.350496,0.022831,0.098806,0.003215,4.327649,0.725505,0.062247,0.369898,0.156285,3.857801,0.043598,0.023797,0.007082,0.545837,0.707673,0.084074
2024-01-15 00:00:11.999,V24-SP1-03-006,V24-SP1-03,P1-SP1-EXF01,6,11.9995,1400.6,2801,0.304909,0.513008,4.235625,0.032903,0.017436,0.005224,0.52992,0.743219,0.071022,0.343207,0.361513,4.028113,0.037414,0.023233,0.013881,0.62099,0.819516,0.076898,0.365219,0.252881,3.5912,0.018879,0.097905,0.008061,5.185929,0.722655,0.055418,0.375757,0.008828,3.440352,0.065717,0.012724,0.007324,0.193621,0.820027,0.06758
2024-01-15 00:00:13.999,V24-SP1-03-007,V24-SP1-03,P1-SP1-EXF01,7,13.9994,1400.6,2801,0.32307,0.405791,4.275104,0.029743,0.034419,0.008075,1.157246,0.771034,0.076559,0.378303,0.334449,4.126729,0.051616,0.016718,0.011302,0.323899,0.739784,0.08835,0.378822,0.203301,4.182546,0.030075,0.100648,0.011118,3.346527,0.677267,0.063216,0.37776,0.205208,3.777449,0.057093,0.007119,0.007321,0.124683,0.800154,0.084648
2024-01-15 00:00:15.999,V24-SP1-03-008,V24-SP1-03,P1-SP1-EXF01,8,15.9993,1400.6,2801,0.309773,0.465106,3.737238,0.022142,0.052292,0.00421,2.361709,0.792384,0.068837,0.357123,0.234379,3.873992,0.034038,0.019435,0.008855,0.570969,0.814775,0.071298,0.378208,0.475362,4.18975,0.033761,0.105641,0.009539,3.129132,0.654487,0.061727,0.365319,0.524634,3.898559,0.038665,0.007231,0.013784,0.187013,0.781739,0.054262
2024-01-15 00:00:17.999,V24-SP1-03-009,V24-SP1-03,P1-SP1-EXF01,9,17.9992,1400.6,2801,0.310338,0.410264,3.65798,0.019851,0.057364,0.010785,2.88966,0.729202,0.058377,0.354771,0.352075,4.082035,0.065403,0.006698,0.014924,0.102416,0.780735,0.073582,0.40114,-0.011399,3.277433,0.019862,0.102393,0.011161,5.155181,0.747748,0.062036,0.345662,-0.098008,3.478885,0.044854,0.009119,0.012648,0.203316,0.684493,0.064652
2024-01-15 00:00:19.999,V24-SP1-03-010,V24-SP1-03,P1-SP1-EXF01,10,19.9991,1400.6,2801,0.33325,0.141165,3.474667,0.018132,0.066742,0.00648,3.680931,0.803528,0.070749,0.363659,0.21931,4.159187,0.040477,0.014879,0.014682,0.367598,0.795077,0.073767,0.382162,-0.086872,3.369976,0.026967,0.099559,0.009271,3.691832,0.580634,0.06662,0.334346,0.033383,3.600738,0.061268,0.012235,0.011026,0.1997,0.719894,0.06411
2024-01-15 00:00:21.999,V24-SP1-03-011,V24-SP1-03,P1-SP1-EXF01,11,21.9991,1400.6,2801,0.323942,0.75565,4.120129,0.029935,0.031448,0.010054,1.050528,0.753358,0.065544,0.370725,0.728384,4.702797,0.053482,0.01231,0.014393,0.230171,0.796989,0.076851,0.374686,0.05242,3.7432,0.028841,0.116572,0.018059,4.041846,0.617966,0.060163,0.360684,-0.034712,3.698655,0.065036,0.014208,0.011987,0.218458,0.763129,0.075632
2024-01-15 00:00:23.999,V24-SP1-03-012,V24-SP1-03,P1-SP1-EXF01,12,23.999,1400.6,2801,0.331032,0.420824,4.446654,0.016588,0.054441,0.007687,3.28189,0.834276,0.06618,0.352798,0.468367,4.158732,0.036037,0.028063,0.005844,0.778732,0.865208,0.069945,0.40203,0.145607,4.04554,0.026005,0.114938,0.01282,4.419839,0.67217,0.061504,0.362611,0.270405,3.686898,0.063905,0.021249,0.00988,0.332514,0.774946,0.061858
2024-01-15 00:00:25.998,V24-SP1-03-013,V24-SP1-03,P1-SP1-EXF01,13,25.9989,1400.6,2801,0.319875,0.245927,4.04025,0.035418,0.015613,0.004764,0.440811,0.705792,0.07422,0.388509,0.474122,3.782708,0.032427,0.021263,0.010712,0.655717,0.757445,0.073372,0.392231,0.101793,3.525742,0.022048,0.106141,0.005388,4.814152,0.694986,0.057815,0.349192,-0.073712,3.384552,0.042764,0.024962,0.009204,0.58372,0.66381,0.056827
2024-01-15 00:00:27.998,V24-SP1-03-014,V24-SP1-03,P1-SP1-EXF01,14,27.9988,1400.6,2801,0.335309,0.442468,3.855094,0.032214,0.032787,0.005252,1.017777,0.726539,0.064876,0.371152,0.335039,3.844422,0.043743,0.024273,0.009093,0.554911,0.859029,0.078634,0.400785,0.078764,3.844028,0.01938,0.113378,0.015266,5.850162,0.653712,0.059339,0.336362,-0.016153,3.574377,0.058901,0.019753,0.009252,0.335352,0.706862,0.061195
2024-01-15 00:00:29.998,V24-SP1-03-015,V24-SP1-03,P1-SP1-EXF01,15,29.9987,1400.6,2801,0.343744,0.486281,4.2817,0.018538,0.059485,0.015754,3.20888,0.759248,0.06631,0.342716,0.178415,4.159717,0.033594,0.020972,0.014721,0.624271,0.810739,0.076895,0.407457,0.176779,3.506485,0.0318,0.125168,0.010584,3.936108,0.643338,0.072611,0.355908,0.27458,3.880997,0.05974,0.025546,0.007081,0.427619,0.788197,0.059517
2024-01-15 00:00:31.998,V24-SP1-03-016,V24-SP1-03,P1-SP1-EXF01,16,31.9986,1400.6,2801,0.344763,0.329735,4.132009,0.018565,0.043937,0.003826,2.36665,0.837081,0.078168,0.337058,0.521059,4.032417,0.062908,0.015276,0.009314,0.242833,0.825467,0.071081,0.425302,-0.0567,3.568821,0.023382,0.11556,0.014302,4.942288,0.63586,0.065526,0.346181,0.138626,3.990765,0.039737,0.018789,0.008711,0.472838,0.696676,0.053225
2024-01-15 00:00:33.998,V24-SP1-03-017,V24-SP1-03,P1-SP1-EXF01,17,33.9985,1400.6,2801,0.319678,0.129059,3.201996,0.017625,0.056884,0.002763,3.227422,0.80339,0.078049,0.357675,1.485452,5.498943,0.032415,0.031248,0.011784,0.964005,0.762935,0.074969,0.413376,0.129261,3.561214,0.024085,0.122368,0.019906,5.080694,0.608381,0.069614,0.334117,0.058199,3.731314,0.044652,0.016484,0.010256,0.369159,0.796319,0.069878
